Number of Trucks: 1000
Number of Stations: 2



Print Station Results
Station 1 unload count: 17032	Station 1 unload percentage: 98.49%
Truck 419 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 420 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 421 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 422 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 423 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 424 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 425 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 426 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 427 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 428 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 429 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 430 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 431 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 432 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 433 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 434 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 435 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 436 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 437 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 438 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 439 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 440 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 441 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 442 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 443 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 444 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 445 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 446 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 447 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 448 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 449 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 450 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 451 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 452 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 453 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 454 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 455 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 456 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 457 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 458 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 459 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 460 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 461 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 462 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 463 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 464 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 465 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 466 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 467 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 468 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 469 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 470 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 471 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 472 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 473 results ---> Unload Count: 21	Unload Percentage: 0.12%
Truck 474 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 475 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 476 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 477 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 478 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 479 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 480 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 481 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 482 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 483 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 484 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 485 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 486 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 487 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 488 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 489 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 490 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 491 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 492 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 493 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 494 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 495 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 496 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 497 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 498 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 499 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 500 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 501 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 502 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 503 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 504 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 505 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 506 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 507 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 508 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 509 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 510 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 511 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 512 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 513 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 514 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 515 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 516 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 517 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 518 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 519 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 520 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 521 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 522 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 523 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 524 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 525 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 526 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 527 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 528 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 529 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 530 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 531 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 532 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 533 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 534 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 535 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 536 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 537 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 538 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 539 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 540 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 541 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 542 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 543 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 544 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 545 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 546 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 547 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 548 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 549 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 550 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 551 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 552 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 553 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 554 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 555 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 556 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 557 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 558 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 559 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 560 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 561 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 562 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 563 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 564 results ---> Unload Count: 14	Unload Percentage: 0.08%
Truck 565 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 566 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 567 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 568 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 569 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 570 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 571 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 572 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 573 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 574 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 575 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 576 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 577 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 578 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 579 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 580 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 581 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 582 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 583 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 584 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 585 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 586 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 587 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 588 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 589 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 590 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 591 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 592 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 593 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 594 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 595 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 596 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 597 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 598 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 599 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 600 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 601 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 602 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 603 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 604 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 605 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 606 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 607 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 608 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 609 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 610 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 611 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 612 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 613 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 614 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 615 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 616 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 617 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 618 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 619 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 620 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 621 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 622 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 623 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 624 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 625 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 626 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 627 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 628 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 629 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 630 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 631 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 632 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 633 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 634 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 635 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 636 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 637 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 638 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 639 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 640 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 641 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 642 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 643 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 644 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 645 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 646 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 647 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 648 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 649 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 650 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 651 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 652 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 653 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 654 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 655 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 656 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 657 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 658 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 659 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 660 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 661 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 662 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 663 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 664 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 665 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 666 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 667 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 668 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 669 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 670 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 671 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 672 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 673 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 674 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 675 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 676 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 677 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 678 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 679 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 680 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 681 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 682 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 683 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 684 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 685 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 686 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 687 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 688 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 689 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 690 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 691 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 692 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 693 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 694 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 695 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 696 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 697 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 698 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 699 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 700 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 701 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 702 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 703 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 704 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 705 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 706 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 707 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 708 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 709 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 710 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 711 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 712 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 713 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 714 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 715 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 716 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 717 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 718 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 719 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 720 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 721 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 722 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 723 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 724 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 725 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 726 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 727 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 728 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 729 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 730 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 731 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 732 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 733 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 734 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 735 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 736 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 737 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 738 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 739 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 740 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 741 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 742 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 743 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 744 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 745 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 746 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 747 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 748 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 749 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 750 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 751 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 752 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 753 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 754 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 755 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 756 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 757 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 758 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 759 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 760 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 761 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 762 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 763 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 764 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 765 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 766 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 767 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 768 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 769 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 770 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 771 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 772 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 773 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 774 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 775 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 776 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 777 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 778 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 779 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 780 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 781 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 782 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 783 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 784 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 785 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 786 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 787 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 788 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 789 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 790 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 791 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 792 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 793 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 794 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 795 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 796 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 797 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 798 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 799 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 800 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 801 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 802 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 803 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 804 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 805 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 806 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 807 results ---> Unload Count: 21	Unload Percentage: 0.12%
Truck 808 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 809 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 810 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 811 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 812 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 813 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 814 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 815 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 816 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 817 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 818 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 819 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 820 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 821 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 822 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 823 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 824 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 825 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 826 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 827 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 828 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 829 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 830 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 831 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 832 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 833 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 834 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 835 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 836 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 837 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 838 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 839 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 840 results ---> Unload Count: 18	Unload Percentage: 0.1%
